ring_id,accounts,transactions,density,average_connections,predicted_fraud_accounts,average_fraud_probability,maximum_fraud_probability,suspicion_score,risk_level
93657,2,1,1.0,1.0,2,0.6384,0.7047,81.92,CRITICAL
74626,2,1,1.0,1.0,2,0.6383,0.7045,81.92,CRITICAL
74746,2,1,1.0,1.0,2,0.6315,0.6849,81.57,CRITICAL
86348,2,1,1.0,1.0,2,0.6231,0.6613,81.15,CRITICAL
2955,2,1,1.0,1.0,2,0.6196,0.6517,80.98,CRITICAL
46694,2,1,1.0,1.0,2,0.6182,0.6478,80.91,CRITICAL
92315,2,1,1.0,1.0,2,0.6144,0.6373,80.72,CRITICAL
70298,2,1,1.0,1.0,2,0.6053,0.6133,80.27,CRITICAL
52665,2,1,1.0,1.0,2,0.6031,0.6076,80.16,CRITICAL
87535,2,1,1.0,1.0,2,0.6027,0.6065,80.13,CRITICAL
67716,2,1,1.0,1.0,2,0.594,0.6051,79.7,CRITICAL
84623,2,1,1.0,1.0,2,0.5937,0.6053,79.69,CRITICAL
8088,2,1,1.0,1.0,2,0.561,0.5945,78.05,CRITICAL
81371,3,2,0.6667,1.33,2,0.6011,0.9114,63.39,HIGH
32046,3,2,0.6667,1.33,2,0.592,0.8825,62.93,HIGH
72339,3,2,0.6667,1.33,2,0.5691,0.8105,61.79,HIGH
72338,3,2,0.6667,1.33,2,0.5586,0.7771,61.27,HIGH
19620,3,2,0.6667,1.33,2,0.5451,0.7461,60.59,HIGH
1827,3,2,0.6667,1.33,2,0.5447,0.7507,60.57,HIGH
1888,3,2,0.6667,1.33,2,0.5412,0.74,60.4,HIGH
19937,3,2,0.6667,1.33,2,0.5341,0.7024,60.04,HIGH
51239,3,2,0.6667,1.33,2,0.5286,0.6996,59.76,HIGH
39425,3,2,0.6667,1.33,2,0.5186,0.6549,59.26,HIGH
87928,4,3,0.5,1.5,2,0.5292,0.9016,51.46,HIGH
25386,4,3,0.5,1.5,2,0.5168,0.8513,50.84,HIGH
52528,4,3,0.5,1.5,2,0.5029,0.8305,50.15,HIGH
33011,4,3,0.5,1.5,2,0.4953,0.7752,49.77,MEDIUM
70155,4,3,0.5,1.5,2,0.4864,0.7503,49.32,MEDIUM
39190,4,3,0.5,1.5,2,0.4855,0.7494,49.27,MEDIUM
54220,3,2,0.6667,1.33,1,0.4812,0.8228,47.39,MEDIUM
61247,3,2,0.6667,1.33,1,0.4812,0.8222,47.39,MEDIUM
50221,3,2,0.6667,1.33,1,0.4778,0.8117,47.23,MEDIUM
85809,3,2,0.6667,1.33,1,0.4765,0.8137,47.16,MEDIUM
81927,3,2,0.6667,1.33,1,0.4747,0.806,47.07,MEDIUM
82687,3,2,0.6667,1.33,1,0.4742,0.7973,47.04,MEDIUM
82424,3,2,0.6667,1.33,1,0.4723,0.8031,46.95,MEDIUM
69289,3,2,0.6667,1.33,1,0.466,0.775,46.63,MEDIUM
84564,3,2,0.6667,1.33,1,0.4637,0.7759,46.52,MEDIUM
75440,3,2,0.6667,1.33,1,0.4631,0.7636,46.49,MEDIUM
79453,3,2,0.6667,1.33,1,0.4611,0.7582,46.39,MEDIUM
65591,3,2,0.6667,1.33,1,0.4589,0.7626,46.28,MEDIUM
50404,3,2,0.6667,1.33,1,0.4556,0.741,46.11,MEDIUM
80228,3,2,0.6667,1.33,1,0.4554,0.7451,46.1,MEDIUM
65898,3,2,0.6667,1.33,1,0.4549,0.7343,46.08,MEDIUM
29721,3,2,0.6667,1.33,1,0.4526,0.7345,45.97,MEDIUM
51315,3,2,0.6667,1.33,1,0.4512,0.7367,45.9,MEDIUM
88077,3,2,0.6667,1.33,1,0.4508,0.7318,45.87,MEDIUM
63459,3,2,0.6667,1.33,1,0.4501,0.7267,45.84,MEDIUM
80119,3,2,0.6667,1.33,1,0.4492,0.7276,45.79,MEDIUM
67492,3,2,0.6667,1.33,1,0.4488,0.7237,45.77,MEDIUM
63885,3,2,0.6667,1.33,1,0.4488,0.7316,45.77,MEDIUM
53257,3,2,0.6667,1.33,1,0.4471,0.7298,45.69,MEDIUM
14574,3,2,0.6667,1.33,1,0.4458,0.7112,45.62,MEDIUM
83316,3,2,0.6667,1.33,1,0.4455,0.7088,45.61,MEDIUM
63550,3,2,0.6667,1.33,1,0.4454,0.7185,45.61,MEDIUM
57738,3,2,0.6667,1.33,1,0.4453,0.7114,45.6,MEDIUM
77497,3,2,0.6667,1.33,1,0.4449,0.7196,45.58,MEDIUM
36408,3,2,0.6667,1.33,1,0.4448,0.7124,45.58,MEDIUM
60500,3,2,0.6667,1.33,1,0.4448,0.7081,45.57,MEDIUM
36624,3,2,0.6667,1.33,1,0.4442,0.7152,45.54,MEDIUM
42443,3,2,0.6667,1.33,1,0.4429,0.7075,45.48,MEDIUM
55787,3,2,0.6667,1.33,1,0.4408,0.7046,45.37,MEDIUM
67336,3,2,0.6667,1.33,1,0.4401,0.7075,45.34,MEDIUM
52996,3,2,0.6667,1.33,1,0.4391,0.6902,45.29,MEDIUM
68075,3,2,0.6667,1.33,1,0.4386,0.6938,45.26,MEDIUM
92430,3,2,0.6667,1.33,1,0.4381,0.6958,45.24,MEDIUM
34864,3,2,0.6667,1.33,1,0.4379,0.6832,45.23,MEDIUM
77312,3,2,0.6667,1.33,1,0.4363,0.6899,45.15,MEDIUM
20408,3,2,0.6667,1.33,1,0.436,0.6852,45.13,MEDIUM
24582,3,2,0.6667,1.33,1,0.4353,0.6785,45.1,MEDIUM
