ring_id,accounts,transactions,density,average_connections,suspicion_score
92699,3,2,0.6667,1.33,36.6
94639,3,2,0.6667,1.33,36.6
94029,3,2,0.6667,1.33,36.6
94024,3,2,0.6667,1.33,36.6
93902,3,2,0.6667,1.33,36.6
93873,3,2,0.6667,1.33,36.6
93850,3,2,0.6667,1.33,36.6
93773,3,2,0.6667,1.33,36.6
26395,3,2,0.6667,1.33,36.6
26400,3,2,0.6667,1.33,36.6
26431,3,2,0.6667,1.33,36.6
26435,3,2,0.6667,1.33,36.6
26531,3,2,0.6667,1.33,36.6
26536,3,2,0.6667,1.33,36.6
26551,3,2,0.6667,1.33,36.6
26247,3,2,0.6667,1.33,36.6
26732,3,2,0.6667,1.33,36.6
91474,3,2,0.6667,1.33,36.6
91510,3,2,0.6667,1.33,36.6
91579,3,2,0.6667,1.33,36.6
91616,3,2,0.6667,1.33,36.6
91640,3,2,0.6667,1.33,36.6
91683,3,2,0.6667,1.33,36.6
91738,3,2,0.6667,1.33,36.6
91771,3,2,0.6667,1.33,36.6
91772,3,2,0.6667,1.33,36.6
91849,3,2,0.6667,1.33,36.6
91921,3,2,0.6667,1.33,36.6
91961,3,2,0.6667,1.33,36.6
91963,3,2,0.6667,1.33,36.6
92040,3,2,0.6667,1.33,36.6
90936,3,2,0.6667,1.33,36.6
91012,3,2,0.6667,1.33,36.6
91024,3,2,0.6667,1.33,36.6
91127,3,2,0.6667,1.33,36.6
91133,3,2,0.6667,1.33,36.6
91149,3,2,0.6667,1.33,36.6
91191,3,2,0.6667,1.33,36.6
91194,3,2,0.6667,1.33,36.6
91202,3,2,0.6667,1.33,36.6
91278,3,2,0.6667,1.33,36.6
91306,3,2,0.6667,1.33,36.6
91347,3,2,0.6667,1.33,36.6
91375,3,2,0.6667,1.33,36.6
91404,3,2,0.6667,1.33,36.6
91465,3,2,0.6667,1.33,36.6
91466,3,2,0.6667,1.33,36.6
90432,3,2,0.6667,1.33,36.6
90469,3,2,0.6667,1.33,36.6
90472,3,2,0.6667,1.33,36.6
90504,3,2,0.6667,1.33,36.6
90511,3,2,0.6667,1.33,36.6
90569,3,2,0.6667,1.33,36.6
90599,3,2,0.6667,1.33,36.6
90620,3,2,0.6667,1.33,36.6
90664,3,2,0.6667,1.33,36.6
90674,3,2,0.6667,1.33,36.6
90760,3,2,0.6667,1.33,36.6
90801,3,2,0.6667,1.33,36.6
90858,3,2,0.6667,1.33,36.6
90893,3,2,0.6667,1.33,36.6
90076,3,2,0.6667,1.33,36.6
90092,3,2,0.6667,1.33,36.6
90110,3,2,0.6667,1.33,36.6
90154,3,2,0.6667,1.33,36.6
90172,3,2,0.6667,1.33,36.6
90176,3,2,0.6667,1.33,36.6
90218,3,2,0.6667,1.33,36.6
90269,3,2,0.6667,1.33,36.6
90285,3,2,0.6667,1.33,36.6
90291,3,2,0.6667,1.33,36.6
90300,3,2,0.6667,1.33,36.6
90314,3,2,0.6667,1.33,36.6
90317,3,2,0.6667,1.33,36.6
90327,3,2,0.6667,1.33,36.6
90423,3,2,0.6667,1.33,36.6
89890,3,2,0.6667,1.33,36.6
89900,3,2,0.6667,1.33,36.6
89915,3,2,0.6667,1.33,36.6
89921,3,2,0.6667,1.33,36.6
89946,3,2,0.6667,1.33,36.6
89960,3,2,0.6667,1.33,36.6
89967,3,2,0.6667,1.33,36.6
89991,3,2,0.6667,1.33,36.6
90029,3,2,0.6667,1.33,36.6
90036,3,2,0.6667,1.33,36.6
90042,3,2,0.6667,1.33,36.6
90054,3,2,0.6667,1.33,36.6
90056,3,2,0.6667,1.33,36.6
90066,3,2,0.6667,1.33,36.6
90069,3,2,0.6667,1.33,36.6
89630,3,2,0.6667,1.33,36.6
89652,3,2,0.6667,1.33,36.6
89675,3,2,0.6667,1.33,36.6
89685,3,2,0.6667,1.33,36.6
89702,3,2,0.6667,1.33,36.6
89703,3,2,0.6667,1.33,36.6
89707,3,2,0.6667,1.33,36.6
89737,3,2,0.6667,1.33,36.6
89764,3,2,0.6667,1.33,36.6
89804,3,2,0.6667,1.33,36.6
89835,3,2,0.6667,1.33,36.6
89838,3,2,0.6667,1.33,36.6
89846,3,2,0.6667,1.33,36.6
26768,3,2,0.6667,1.33,36.6
26776,3,2,0.6667,1.33,36.6
26785,3,2,0.6667,1.33,36.6
26850,3,2,0.6667,1.33,36.6
26862,3,2,0.6667,1.33,36.6
26892,3,2,0.6667,1.33,36.6
26934,3,2,0.6667,1.33,36.6
26994,3,2,0.6667,1.33,36.6
89336,3,2,0.6667,1.33,36.6
89337,3,2,0.6667,1.33,36.6
481,3,2,0.6667,1.33,36.6
529,3,2,0.6667,1.33,36.6
89379,3,2,0.6667,1.33,36.6
89408,3,2,0.6667,1.33,36.6
89413,3,2,0.6667,1.33,36.6
89415,3,2,0.6667,1.33,36.6
89416,3,2,0.6667,1.33,36.6
89430,3,2,0.6667,1.33,36.6
89436,3,2,0.6667,1.33,36.6
89589,3,2,0.6667,1.33,36.6
89072,3,2,0.6667,1.33,36.6
89108,3,2,0.6667,1.33,36.6
89111,3,2,0.6667,1.33,36.6
89115,3,2,0.6667,1.33,36.6
89125,3,2,0.6667,1.33,36.6
89126,3,2,0.6667,1.33,36.6
89146,3,2,0.6667,1.33,36.6
89148,3,2,0.6667,1.33,36.6
89182,3,2,0.6667,1.33,36.6
89186,3,2,0.6667,1.33,36.6
89217,3,2,0.6667,1.33,36.6
89296,3,2,0.6667,1.33,36.6
89315,3,2,0.6667,1.33,36.6
88833,3,2,0.6667,1.33,36.6
88879,3,2,0.6667,1.33,36.6
88881,3,2,0.6667,1.33,36.6
88911,3,2,0.6667,1.33,36.6
88958,3,2,0.6667,1.33,36.6
88993,3,2,0.6667,1.33,36.6
88994,3,2,0.6667,1.33,36.6
88996,3,2,0.6667,1.33,36.6
89000,3,2,0.6667,1.33,36.6
89039,3,2,0.6667,1.33,36.6
89044,3,2,0.6667,1.33,36.6
89066,3,2,0.6667,1.33,36.6
89067,3,2,0.6667,1.33,36.6
89071,3,2,0.6667,1.33,36.6
27010,3,2,0.6667,1.33,36.6
27046,3,2,0.6667,1.33,36.6
27070,3,2,0.6667,1.33,36.6
27152,3,2,0.6667,1.33,36.6
27184,3,2,0.6667,1.33,36.6
27277,3,2,0.6667,1.33,36.6
88559,3,2,0.6667,1.33,36.6
88560,3,2,0.6667,1.33,36.6
88563,3,2,0.6667,1.33,36.6
88571,3,2,0.6667,1.33,36.6
88578,3,2,0.6667,1.33,36.6
88616,3,2,0.6667,1.33,36.6
88644,3,2,0.6667,1.33,36.6
88738,3,2,0.6667,1.33,36.6
88740,3,2,0.6667,1.33,36.6
88764,3,2,0.6667,1.33,36.6
88766,3,2,0.6667,1.33,36.6
88831,3,2,0.6667,1.33,36.6
88408,3,2,0.6667,1.33,36.6
88438,3,2,0.6667,1.33,36.6
88478,3,2,0.6667,1.33,36.6
88480,3,2,0.6667,1.33,36.6
88486,3,2,0.6667,1.33,36.6
88521,3,2,0.6667,1.33,36.6
88533,3,2,0.6667,1.33,36.6
88540,3,2,0.6667,1.33,36.6
88543,3,2,0.6667,1.33,36.6
88547,3,2,0.6667,1.33,36.6
88552,3,2,0.6667,1.33,36.6
88554,3,2,0.6667,1.33,36.6
88556,3,2,0.6667,1.33,36.6
27314,3,2,0.6667,1.33,36.6
27358,3,2,0.6667,1.33,36.6
27384,3,2,0.6667,1.33,36.6
27446,3,2,0.6667,1.33,36.6
27464,3,2,0.6667,1.33,36.6
88225,3,2,0.6667,1.33,36.6
88254,3,2,0.6667,1.33,36.6
88255,3,2,0.6667,1.33,36.6
88262,3,2,0.6667,1.33,36.6
88304,3,2,0.6667,1.33,36.6
88309,3,2,0.6667,1.33,36.6
88312,3,2,0.6667,1.33,36.6
88313,3,2,0.6667,1.33,36.6
88339,3,2,0.6667,1.33,36.6
88340,3,2,0.6667,1.33,36.6
88341,3,2,0.6667,1.33,36.6
88397,3,2,0.6667,1.33,36.6
27523,3,2,0.6667,1.33,36.6
27595,3,2,0.6667,1.33,36.6
27622,3,2,0.6667,1.33,36.6
27628,3,2,0.6667,1.33,36.6
88079,3,2,0.6667,1.33,36.6
88091,3,2,0.6667,1.33,36.6
88095,3,2,0.6667,1.33,36.6
88096,3,2,0.6667,1.33,36.6
88149,3,2,0.6667,1.33,36.6
88154,3,2,0.6667,1.33,36.6
88164,3,2,0.6667,1.33,36.6
88172,3,2,0.6667,1.33,36.6
88176,3,2,0.6667,1.33,36.6
88179,3,2,0.6667,1.33,36.6
88180,3,2,0.6667,1.33,36.6
1519,3,2,0.6667,1.33,36.6
88221,3,2,0.6667,1.33,36.6
27727,3,2,0.6667,1.33,36.6
27841,3,2,0.6667,1.33,36.6
27844,3,2,0.6667,1.33,36.6
27931,3,2,0.6667,1.33,36.6
27962,3,2,0.6667,1.33,36.6
87868,3,2,0.6667,1.33,36.6
87901,3,2,0.6667,1.33,36.6
87904,3,2,0.6667,1.33,36.6
87909,3,2,0.6667,1.33,36.6
87913,3,2,0.6667,1.33,36.6
87914,3,2,0.6667,1.33,36.6
87918,3,2,0.6667,1.33,36.6
87925,3,2,0.6667,1.33,36.6
87941,3,2,0.6667,1.33,36.6
87943,3,2,0.6667,1.33,36.6
88076,3,2,0.6667,1.33,36.6
27982,3,2,0.6667,1.33,36.6
28060,3,2,0.6667,1.33,36.6
28115,3,2,0.6667,1.33,36.6
28118,3,2,0.6667,1.33,36.6
28151,3,2,0.6667,1.33,36.6
25861,3,2,0.6667,1.33,36.6
87701,3,2,0.6667,1.33,36.6
87723,3,2,0.6667,1.33,36.6
87743,3,2,0.6667,1.33,36.6
87764,3,2,0.6667,1.33,36.6
87766,3,2,0.6667,1.33,36.6
87787,3,2,0.6667,1.33,36.6
87810,3,2,0.6667,1.33,36.6
87811,3,2,0.6667,1.33,36.6
87824,3,2,0.6667,1.33,36.6
87826,3,2,0.6667,1.33,36.6
87827,3,2,0.6667,1.33,36.6
87829,3,2,0.6667,1.33,36.6
87444,3,2,0.6667,1.33,36.6
87508,3,2,0.6667,1.33,36.6
87538,3,2,0.6667,1.33,36.6
87563,3,2,0.6667,1.33,36.6
87584,3,2,0.6667,1.33,36.6
87592,3,2,0.6667,1.33,36.6
1826,3,2,0.6667,1.33,36.6
1887,3,2,0.6667,1.33,36.6
87610,3,2,0.6667,1.33,36.6
87620,3,2,0.6667,1.33,36.6
87645,3,2,0.6667,1.33,36.6
87678,3,2,0.6667,1.33,36.6
87681,3,2,0.6667,1.33,36.6
28163,3,2,0.6667,1.33,36.6
28166,3,2,0.6667,1.33,36.6
28177,3,2,0.6667,1.33,36.6
28222,3,2,0.6667,1.33,36.6
28234,3,2,0.6667,1.33,36.6
28246,3,2,0.6667,1.33,36.6
28317,3,2,0.6667,1.33,36.6
28348,3,2,0.6667,1.33,36.6
87237,3,2,0.6667,1.33,36.6
87241,3,2,0.6667,1.33,36.6
87255,3,2,0.6667,1.33,36.6
87261,3,2,0.6667,1.33,36.6
87272,3,2,0.6667,1.33,36.6
87295,3,2,0.6667,1.33,36.6
87302,3,2,0.6667,1.33,36.6
87331,3,2,0.6667,1.33,36.6
87349,3,2,0.6667,1.33,36.6
87387,3,2,0.6667,1.33,36.6
87407,3,2,0.6667,1.33,36.6
87408,3,2,0.6667,1.33,36.6
87431,3,2,0.6667,1.33,36.6
87440,3,2,0.6667,1.33,36.6
87012,3,2,0.6667,1.33,36.6
87021,3,2,0.6667,1.33,36.6
87022,3,2,0.6667,1.33,36.6
87035,3,2,0.6667,1.33,36.6
87041,3,2,0.6667,1.33,36.6
87046,3,2,0.6667,1.33,36.6
87055,3,2,0.6667,1.33,36.6
87058,3,2,0.6667,1.33,36.6
87147,3,2,0.6667,1.33,36.6
87150,3,2,0.6667,1.33,36.6
87151,3,2,0.6667,1.33,36.6
87152,3,2,0.6667,1.33,36.6
86793,3,2,0.6667,1.33,36.6
86795,3,2,0.6667,1.33,36.6
86804,3,2,0.6667,1.33,36.6
86808,3,2,0.6667,1.33,36.6
86832,3,2,0.6667,1.33,36.6
86851,3,2,0.6667,1.33,36.6
86862,3,2,0.6667,1.33,36.6
86900,3,2,0.6667,1.33,36.6
86929,3,2,0.6667,1.33,36.6
86947,3,2,0.6667,1.33,36.6
86969,3,2,0.6667,1.33,36.6
86973,3,2,0.6667,1.33,36.6
28550,3,2,0.6667,1.33,36.6
28562,3,2,0.6667,1.33,36.6
28574,3,2,0.6667,1.33,36.6
28592,3,2,0.6667,1.33,36.6
25734,3,2,0.6667,1.33,36.6
25750,3,2,0.6667,1.33,36.6
25787,3,2,0.6667,1.33,36.6
28636,3,2,0.6667,1.33,36.6
86521,3,2,0.6667,1.33,36.6
86543,3,2,0.6667,1.33,36.6
