threshold,false_positives,false_negatives,true_positives,total_cost
0.01,20358,3,1640,20388
0.02,13736,3,1640,13766
0.03,11046,4,1639,11086
0.04,9421,5,1638,9471
0.05,8373,5,1638,8423
0.060000000000000005,7600,6,1637,7660
0.06999999999999999,6918,6,1637,6978
0.08,6356,6,1637,6416
0.09,5907,6,1637,5967
0.09999999999999999,5537,6,1637,5597
0.11,5205,8,1635,5285
0.12,4913,8,1635,4993
0.13,4664,8,1635,4744
0.14,4433,8,1635,4513
0.15000000000000002,4223,8,1635,4303
0.16,4018,8,1635,4098
0.17,3841,8,1635,3921
0.18000000000000002,3687,9,1634,3777
0.19,3562,10,1633,3662
0.2,3445,11,1632,3555
0.21000000000000002,3298,11,1632,3408
0.22,3186,12,1631,3306
0.23,3063,12,1631,3183
0.24000000000000002,2970,14,1629,3110
0.25,2878,14,1629,3018
0.26,2775,15,1628,2925
0.27,2679,18,1625,2859
0.28,2585,18,1625,2765
0.29000000000000004,2506,19,1624,2696
0.3,2437,19,1624,2627
0.31,2368,19,1624,2558
0.32,2292,19,1624,2482
0.33,2211,19,1624,2401
0.34,2137,20,1623,2337
0.35000000000000003,2074,21,1622,2284
0.36000000000000004,2016,21,1622,2226
0.37,1945,21,1622,2155
0.38,1895,24,1619,2135
0.39,1830,24,1619,2070
0.4,1788,24,1619,2028
0.41000000000000003,1750,24,1619,1990
0.42000000000000004,1692,25,1618,1942
0.43,1643,26,1617,1903
0.44,1583,26,1617,1843
0.45,1524,26,1617,1784
0.46,1483,28,1615,1763
0.47000000000000003,1454,29,1614,1744
0.48000000000000004,1419,29,1614,1709
0.49,1387,29,1614,1677
0.5,1347,29,1614,1637
